,X1-X2
0,1.17261247584
1,0.80755730752
2,1.53240424583
3,0.958940048802
4,1.50079061551
5,2.00030474816
6,1.66555130456
7,1.26176890345
8,1.90485290377
9,1.07233006649
10,0.890521039268
11,1.67385615184
12,1.20060469162
13,1.0871495535
14,1.72258249478
15,0.945139487075
16,1.56526576549
17,0.983474911165
18,1.63781482545
19,0.919884796729
20,1.71990483369
21,1.12269181345
22,1.14998471074
23,1.17934161149
24,2.09793891367
25,0.983456291515
26,2.10254175442
27,1.15636097964
28,0.754591822127
29,1.275141345
30,1.71500720733
31,0.717178105152
32,1.63755428318
33,1.06495009187
34,1.28206226706
35,1.78473371049
36,1.20766033502
37,0.943984097771
38,1.93110246135
39,1.10608207029
40,1.4374131537
41,1.34184058011
42,1.15924199577
43,0.969022985848
44,1.35806809058
45,1.06013849187
46,1.16832495046
47,1.14755496381
48,1.61058309221
49,1.24389422405
50,1.69096648565
51,0.864602701127
52,1.06411545972
53,2.07620387167
54,1.76493236742
55,0.786854836348
56,1.18537547541
57,0.996946110666
58,1.64638521007
59,1.90504876424
60,1.15521953189
61,1.13656437484
62,1.3430004106
63,0.899585103198
64,0.855537732609
65,1.04366957274
66,1.77094282449
67,0.905424696339
68,1.76044119545
69,1.91500371455
70,1.96885404343
71,2.37499319754
72,0.992840165758
73,2.03580413925
74,2.1828075729
75,2.10592194587
76,0.769964825498
77,1.95394590822
78,1.39469749834
79,1.60191905233
80,1.45495987802
81,0.831893146154
82,0.636842929088
83,1.26785241614
84,0.948148627965
85,1.20432809708
86,1.09202158269
87,0.851923371598
88,1.23511790552
89,1.37327935508
90,1.35858899978
91,1.32157768035
92,2.23828993128
93,1.65688931021
94,1.32506022866
95,1.69598596936
96,0.848986923268
97,1.7403317306
98,2.12693409193
99,1.20285060386
100,1.48335143145
101,1.12162425387
102,1.0753570042
103,1.57609067626
104,1.36584452308
105,2.35066976893
106,3.3841320543
107,2.24299287657
108,1.31226219009
109,2.64247010959
110,1.55363518593
111,1.62101628064
112,1.31560712312
113,1.08541649649
114,2.79254981101
115,0.834169924576
116,1.97003508136
117,2.0414355808
118,0.840660394178
119,1.93214497548
120,1.71854026421
121,1.12778004648
122,1.43018855841
123,1.2085678596
124,0.99625144304
125,0.900112401626
126,1.68776316461
127,1.51767499485
128,1.28711147542
129,1.59389016273
130,0.751887194239
131,3.1813701857
132,1.16790200652
133,1.62246157804
134,1.29231892294
135,1.60906941907
136,1.69729682399
137,1.11224932001
138,1.31834055661
139,1.53980547619
140,2.96647759245
141,1.07163004905
142,0.896039623462
143,1.00330301006
144,1.09968446412
145,0.872780934305
146,1.74351505487
147,1.54081593364
148,1.71240607577
149,1.53769488778
150,1.81395791361
151,0.999317609558
152,0.581433752664
153,1.231449021
154,1.67927939424
155,2.77752013156
156,1.28149113566
157,1.08069130987
158,1.06726092399
159,2.2257487746
160,1.18317244433
161,1.43222605617
162,0.938696199461
163,1.56686340133
164,1.60895111698
165,1.38448421538
166,1.32573123796
167,1.67510348565
168,1.02635953415
169,1.1456764463
170,1.71777549323
171,2.37648871377
172,0.700279558554
173,1.36018027096
174,1.19674775269
175,2.25708001756
176,0.895744496306
177,2.33910479471
178,1.32899265374
179,1.52018923887
180,0.962711308574
181,1.19363315372
182,0.912066043163
183,1.0080669299
184,1.46477624086
185,1.87083060845
186,3.20365338
187,1.65892558461
188,1.66774659973
