,X1-X2
0,11.8234421642
1,16.7358615857
2,2.75736606023
3,14.4600727641
4,26.3876246176
5,8.8808589454
6,8.48226854775
7,4.55476611385
8,4.47290011558
9,12.885689103
10,10.2236512604
11,13.8010768259
12,18.1735024441
13,4.07826542046
14,24.6302971742
15,11.8542827572
16,11.0354941639
17,18.203498052
18,10.0637460427
19,16.1803361639
20,9.57591134428
21,7.36013160312
22,15.3640009993
23,12.865003517
24,11.436028605
25,16.8678649503
26,11.9602874367
27,4.10553770315
28,13.171679767
29,10.6494559099
30,17.3616292179
31,17.4116629337
32,6.36044651779
33,12.0943944718
34,6.65356802527
35,9.13296860308
36,14.2960459081
37,9.34050101015
38,9.0731621908
39,15.225018864
40,20.8637121584
41,18.2076840733
42,20.7763089867
43,8.43732739451
44,8.46490094551
45,12.2237579005
46,13.6684618008
47,9.56003799065
48,10.8621887422
49,6.62472659826
50,18.0072965903
51,18.8860426308
52,22.6643591589
53,7.39817484748
54,12.2740689627
55,15.9977145117
56,10.3815689267
57,17.9231153497
58,7.33546454508
59,5.62242278127
60,12.6335919242
61,18.3413448929
62,18.1512288196
63,26.4652904923
64,18.6844166327
65,5.1401841771
66,12.8466922679
67,21.6084973216
68,17.9507872904
69,11.8967861225
70,14.5372049218
71,7.64066778886
72,14.0123672847
73,8.74359483354
74,7.28039599111
75,8.95366255718
76,10.82281927
77,25.6128543962
78,13.5164280522
79,11.4933936993
80,23.2110215236
81,19.1444243272
82,6.52118030579
83,6.61233118374
84,6.95863569737
85,11.7974618908
86,18.0860010536
87,8.23595217092
88,15.1707587083
89,13.9184034698
90,15.0084676073
91,12.326152581
92,8.73511896183
93,12.3897208551
94,19.6154402951
95,8.65425612844
96,3.76443590274
97,15.0224968809
98,15.56487094
99,14.6358309559
100,14.1075082208
101,17.7488875665
102,17.9962083081
103,13.4950539885
104,16.7197035911
105,13.3994964105
106,16.6035635106
107,11.092423687
108,8.75997881091
109,12.1498271391
110,14.8760684856
111,14.6190958217
112,17.6521385014
113,15.0622132964
114,13.3742556856
115,5.08800049213
116,13.0561861421
117,11.5813914129
118,4.12219053102
119,18.3270722354
120,15.4397423869
121,11.8057400715
122,8.62252479735
123,21.9286499019
124,13.2718917857
125,9.6378294694
126,13.0251393236
127,17.8087709959
128,9.59007418413
129,23.329757477
130,8.50451247217
131,6.41764828465
132,13.7319128666
133,16.3659261415
134,21.4886472175
135,1.66965457361
136,15.9894252552
137,6.49917391143
138,14.838940461
139,17.926352651
140,9.07801687856
141,10.0511416975
142,5.29687817396
143,5.01717598683
144,10.0402144939
145,5.00360212234
146,8.40337443764
147,10.8964245286
148,7.53968060811
149,16.6430256132
150,6.6248786874
151,14.3854980105
152,14.8005296837
153,15.409105674
154,11.3121059669
155,12.9296539669
156,10.7578295357
157,16.4060604479
158,10.3578640368
159,7.64337104669
160,18.554351164
161,21.9543053082
162,4.85389897017
163,5.69898624937
164,12.9774516058
165,16.3115201311
166,9.58595196386
167,3.39940529655
168,13.8666068987
169,16.2513762778
170,14.4690612232
171,8.26764976258
172,10.7948427897
173,12.3873016568
174,14.3381729048
175,4.33183198279
176,5.69783649226
177,11.6760875787
178,8.48767516801
179,11.602329525
180,8.7036881515
181,10.2096105187
182,9.40873032208
183,6.39858775878
184,6.85853942323
185,6.69011538314
186,7.31868961092
187,13.0699523472
188,7.34979343632
189,9.49147208823
190,7.6988024945
191,3.7053048772
192,5.02584905996
193,6.73138445367
194,6.70170045508
195,6.29263551128
196,11.2449116511
197,12.902292712
198,11.4449810517
199,23.6758689161
200,12.7209893305
201,13.7410530387
202,12.3838496944
203,5.12909041879
204,9.76772453408
205,16.3720813671
206,7.99736415272
207,9.05823977794
208,13.7554797833
209,5.98322286636
210,4.04012840461
211,6.38499180371
212,6.11095246146
213,15.1782641276
214,8.61720230055
215,9.4945075564
216,9.60564022254
217,10.2533258641
218,4.71522656671
219,13.6803008241
220,8.26634313079
221,9.7151034434
222,3.48513643565
223,11.6265623569
224,14.8204842311
225,12.0161459504
226,9.54465531181
227,6.43243639637
228,6.28253027971
229,9.93448497342
230,10.9132557395
231,13.08609299
232,6.60827207041
233,12.9219633036
234,15.8422109455
235,10.4501269523
236,7.02537008699
237,4.27083140443
238,21.0210423407
239,5.36213309065
240,13.8507062236
241,16.2150775959
242,10.1442867391
243,9.16132525339
244,13.3429549001
245,9.9482869967
246,12.9219259745
247,5.14200740866
248,9.40070391002
249,8.68165390517
250,5.04993796694
251,9.43858483194
252,13.5548512448
253,14.740012838
254,9.10063092991
255,31.2115579576
256,13.1229364581
257,10.6426700153
258,16.5907183159
259,13.4102555975
260,17.8008794333
261,18.2295435018
262,17.5074080008
263,13.1214571842
264,13.2564344744
265,11.2065336022
266,13.1570761885
267,26.7535913975
268,7.8340402792
269,11.0753049286
270,17.2243224817
271,21.7739123807
272,15.7365015944
273,15.5846150003
274,16.8315547181
275,9.98628929922
276,21.4149185252
277,14.3566850956
278,6.8105469526
279,7.66090642079
280,5.95017117368
281,6.85224470616
282,8.06265018208
283,3.02819312913
284,17.403502572
285,12.9513911451
286,14.7645673092
287,6.74212954573
288,5.99406246907
289,9.33419399348
290,10.9369581062
291,8.67764709792
292,6.70254903297
293,9.43871049874
294,12.4998254133
295,11.2691244403
296,22.2503638162
297,13.8693784342
298,11.1215771814
299,12.3820010047
300,18.490979975
301,9.33133987273
302,18.130403328
303,13.5507123783
304,5.87906114441
305,14.0766163673
306,6.77966272368
307,5.48176502609
308,33.5026847044
309,19.0296449543
310,9.17000838421
311,16.919226048
312,15.347790327
313,10.4699787598
314,19.3861351192
315,6.22681355595
316,4.74252973087
317,11.5932973892
318,20.7820847927
319,13.111137163
320,10.5980479528
321,21.9328339719
322,6.58088581074
323,10.4386223967
324,15.8722223037
325,17.7057346351
326,18.4510395941
327,10.4448576937
328,10.187920417
329,17.2655663808
330,10.1581608007
331,21.7274331472
332,9.21640957481
333,14.85133673
334,19.5212696886
335,8.37083698249
336,12.2467719172
337,13.3731191874
338,8.62493912769
339,8.24261244106
340,6.19517343237
341,10.4779833558
342,7.55027854769
343,3.05295587462
344,7.80286165225
345,13.7929916112
346,7.33397237844
347,16.7897533245
348,14.1882681308
349,13.5292021829
350,11.278047284
351,8.00443925255
352,14.1191799609
353,27.5723948265
354,11.3458006593
355,16.757564717
356,6.94055492207
357,9.6167089402
358,12.6717891622
359,15.6964948054
360,7.89495703026
361,13.4597939753
362,10.7483009626
363,14.2975060866
364,8.86531712298
365,6.5213762808
366,11.5032718785
367,9.60066920804
368,12.6583817661
