,X1-X2
0,7.79739592468
1,6.54435151454
2,10.5734488245
3,9.75598477219
4,5.81764447245
5,11.7823183524
6,6.37687122093
7,7.38893449258
8,10.6200711476
9,6.58640441351
10,7.16303052055
11,9.10222956941
12,9.66012140094
13,10.1927545066
14,8.01393375826
15,8.1637410025
16,10.3797137238
17,8.84530754551
18,7.39507593407
19,6.45946637519
20,8.84578941778
21,8.31684549295
22,8.69955337807
23,6.60409729873
24,7.17819380511
25,6.87316209826
26,8.27458838472
27,9.49577009505
28,11.7261904202
29,9.18919474673
30,8.36462982695
31,8.69926474475
32,8.56720454667
33,8.85012949584
34,6.88828507295
35,7.92230099578
36,7.47606500056
37,11.5624624819
38,8.99678558879
39,8.48820452542
40,10.7036111157
41,6.40609615269
42,8.72595626978
43,8.92291524858
44,7.29070649257
45,13.6705982756
46,9.43907066686
47,10.0369158035
48,9.72614160115
49,9.37909686595
50,9.23529261908
51,12.0455646213
52,6.7955097822
53,9.20216262561
54,5.75194011911
55,8.35387015238
56,9.49835017738
57,7.57428724649
58,10.0131079032
59,7.09142704818
60,12.3800166278
61,6.78019747044
62,9.33838822927
63,5.92408626381
64,10.1866175034
65,7.39942644079
66,8.3873958376
67,11.04144216
68,8.84713078673
69,7.89429635532
70,7.29352628753
71,10.1955065053
72,8.40610866877
73,9.31171263789
74,10.4905714081
75,7.39456018701
76,8.38046131389
77,14.8094181806
78,12.8455608218
79,12.2684291459
80,7.89336693654
81,10.5309176496
82,8.20012436634
83,6.2730215945
84,11.1966407359
85,7.52006136316
86,6.88000457961
87,10.3750153706
88,9.79222044837
89,7.25757006847
90,7.29075605523
91,7.50168859724
92,8.90173114663
93,6.85529283214
94,10.3186217771
95,8.46237754127
96,10.3567797895
97,7.67229379207
98,12.1279864984
99,6.57266073595
100,8.70391358502
101,11.922612829
102,10.0754667584
103,6.14989329161
104,8.36183520214
105,11.3071598726
106,8.60631892323
107,7.69963814161
108,5.78887083262
109,7.54723629828
110,8.46437593139
111,9.74942140116
112,10.5168759949
113,10.4956694621
114,7.45429934382
115,9.77217019977
116,7.78341064706
117,8.05191964309
118,7.66342446267
119,6.91824942552
120,9.28849039822
121,9.7335957961
122,10.1762994446
123,11.4218284279
124,10.6211322007
125,8.92601015526
126,9.73858854808
127,6.28470322374
128,9.37233159568
129,8.54425751967
130,10.2407998887
131,10.9725797294
132,6.63799095945
133,9.68340079482
134,6.62267463733
135,9.94236081353
136,5.06237218497
137,9.29107933642
138,8.40302999355
139,11.541617609
140,9.65893848626
141,11.0364614784
142,6.63937165804
143,10.2069556159
144,10.0886128206
145,8.48311317517
146,7.96490589734
147,6.86161503483
148,10.9992004548
149,6.57990249529
150,8.91785107575
151,10.0394064739
152,7.18238360665
153,6.85008396584
154,8.06908541042
155,7.47307209653
156,10.4714867072
157,9.73001263011
158,6.82395386456
159,6.42654575055
160,13.7125974867
161,8.29554334942
162,10.5442647469
163,10.8290642257
164,6.49962756938
165,7.20748918194
166,8.18044792883
167,7.44914161996
168,11.2318638068
169,7.41227780241
170,11.75505947
171,9.60336452503
172,10.0410864176
173,10.2502043399
174,9.75595700337
175,7.36761099038
176,11.617209991
177,7.34573298417
178,8.69561001348
179,8.3007190008
180,13.3631877279
181,7.8452254593
182,11.0649217514
183,12.2908333541
184,7.45620623081
185,7.5149649264
186,7.12779474818
187,9.59888133813
188,8.92179841382
189,9.42726225362
190,7.63408233168
191,8.53389229148
192,10.8948084825
193,9.21711547143
194,6.69524787035
195,7.47574302332
196,13.493770107
197,10.9560524347
198,9.35427930449
199,8.0315748788
200,6.82307411063
201,11.6525724884
202,7.8918305004
203,5.9165325456
204,7.72508097739
205,11.2326972669
206,8.75070177211
207,7.78558946945
208,7.84028721728
209,7.62042743833
210,5.53163515446
211,8.40335483875
212,10.2581616428
213,8.88019883743
214,9.30392390564
215,10.933757243
216,6.38637674465
217,8.73114498784
218,8.55152362643
219,10.1722187332
220,6.80009629246
221,5.36627787517
222,11.333255259
223,10.2722916953
224,9.16940329561
225,7.30176751269
226,9.00835590501
227,9.2520617049
228,7.66304226423
229,9.08908682916
230,10.84746159
231,12.9971803
232,9.22135449701
233,7.40745131374
234,12.8703941536
235,7.58717704429
236,8.90588867019
237,9.577802011
238,11.1692441616
239,9.63577317395
240,10.6989104805
241,5.74104627776
242,6.45583305171
243,6.56482684236
244,7.33260192777
245,7.56925397482
246,8.36497103084
247,5.67933698008
248,7.99457825406
249,9.0653999921
250,7.28911729612
251,8.70213814364
252,6.8606159673
253,7.89787252752
254,14.3168010903
255,9.05396298143
256,9.19158777863
257,10.3620781
258,7.27142571163
259,10.7788801286
260,8.19629555601
261,8.51740753226
262,6.63653002205
263,6.94363759878
264,10.2710852246
265,8.19247874677
266,10.3663924138
267,8.80114706533
268,9.44012575346
269,9.11355774553
270,7.18493977647
271,9.03521992125
272,7.5043813199
273,7.55441768579
274,11.2426940823
275,7.37848325576
276,11.1065315466
277,12.5446182653
278,12.6721433494
279,7.79021121747
280,10.4847950741
281,8.09468242732
282,7.481348615
283,10.7567063667
284,6.81989554334
285,7.53451634647
286,7.61425109743
287,7.96418645271
288,6.34041140036
289,7.59208195622
290,8.54279767592
291,7.41277112642
292,10.0731955689
293,7.77679807385
294,8.34786851489
295,9.52784543984
296,9.01778207175
297,11.7731713033
298,10.0523909538
299,7.02888444202
300,7.73786539165
301,8.02738021814
302,7.90753576254
303,8.24326646517
304,11.1969642275
305,6.72174153448
306,11.1394662772
307,8.65105085698
308,5.01147887996
309,8.54674960467
310,7.84154670409
311,9.47836510532
312,7.36523603302
313,9.52830318768
314,9.06606202377
315,7.02728946716
316,7.64013710506
317,8.21590728063
318,9.74026855555
319,6.31135110123
320,8.96388788742
321,8.56086626545
322,10.2341177498
323,9.02095894296
324,7.51169780706
325,11.1221969619
326,11.0184190664
327,4.60040841099
328,11.0701164498
329,11.1098639409
330,8.63556993555
331,7.92931873685
332,7.84642059962
333,6.83616248356
334,10.2903819022
335,7.53607507955
336,9.15004029394
337,11.5773761423
338,10.6387101151
339,8.15032753975
340,9.81556758362
341,8.45814556599
342,8.24206365687
343,7.26552508446
344,9.00082785453
345,11.887285054
346,10.1816948925
347,9.82068335029
348,11.9874715128
349,6.42850135953
350,5.84671581851
351,8.14413301519
352,7.95634383064
353,8.76611565157
354,10.6965338715
355,6.05373188881
356,8.17965610367
357,8.08222285085
358,9.66179967342
359,8.73350197532
360,10.1130328428
361,7.10562432813
362,6.4160049392
363,8.31818546663
364,8.74355001459
365,8.1317623074
366,9.59764910883
367,11.4638557919
368,8.24304643108
369,7.82708577118
370,11.0241188508
371,8.08562293345
372,7.25575079771
373,10.2469823671
374,9.96947841731
375,9.11363994519
376,5.59058626864
377,8.93396043577
378,9.73638139788
379,7.79762213526
380,10.1134786362
381,9.48333459602
