,X1-X2
0,3.26257991546
1,2.84384895351
2,2.33366752334
3,6.79920014722
4,3.97771335677
5,2.57320390493
6,3.04033467988
7,4.00676808405
8,3.04980187726
9,1.61685916549
10,4.24779113649
11,2.45827961308
12,2.49269736031
13,5.28338536854
14,3.29597071573
15,2.55935662561
16,2.992671437
17,2.53606853831
18,3.74169533158
19,4.59103518371
20,2.22007823093
21,4.57311036173
22,3.74403305667
23,1.61361878339
24,3.82650836075
25,2.3231910895
26,4.11554118798
27,5.17998310009
28,3.3694754356
29,4.15552750171
30,2.62694285876
31,3.80917942822
32,2.72826208563
33,4.97308786986
34,4.32927847199
35,5.10640327573
36,6.19634369285
37,2.48993425227
38,5.62492777001
39,5.77557135201
40,5.41964437275
41,2.50351018366
42,1.42742605428
43,2.70670119937
44,3.88800914018
45,2.25108698259
46,3.17001930997
47,2.56421085445
48,1.94309558654
49,7.82124889522
50,3.62844177993
51,4.18619709259
52,4.69004630318
53,1.76608512558
54,2.64557814922
55,1.90161892044
56,4.15268076855
57,7.65107509623
58,2.73762846029
59,6.03351894812
60,2.60373342601
61,5.52640941183
62,2.69814878976
63,3.92450415656
64,3.41401535885
65,3.67491949127
66,2.34704388874
67,4.74407697519
68,3.2292439804
69,1.70202253219
70,3.19565343213
71,6.6768614946
72,4.62448392856
73,7.19158922329
74,2.83220550365
75,4.1355471099
76,5.38922028476
77,7.23603848745
78,3.80246764889
79,4.51511417759
80,3.76433077777
81,3.89554496419
82,4.7227838068
83,4.9784007919
84,3.74982655352
85,1.93268991813
86,4.01417714054
87,5.6161454602
88,4.31168952016
89,2.39380533481
90,3.54115362938
91,4.05753464515
92,3.25724363717
93,7.49771772272
94,2.38488661445
95,3.71615612823
96,3.52934255468
97,3.68512492648
98,2.86687688886
99,2.69176248939
100,3.49181473864
101,4.36453669654
102,4.68468053993
103,3.14593207851
104,2.46241345384
105,3.36527899363
106,3.1259708117
107,3.52640789655
108,2.87046065486
109,4.93757550529
110,2.89199172523
111,2.30020441066
112,2.5604197279
113,5.18497821862
114,1.8042046929
115,3.98776818453
116,4.05492784464
117,5.12930048859
118,3.36014260341
119,3.19729411023
120,3.77588439552
121,2.06671115641
122,5.34556935569
123,5.357952883
124,6.08482597681
125,4.71879103093
126,3.59292334792
127,5.68489767024
128,4.68180534131
129,2.7299416729
130,3.31528378716
131,2.84475870911
132,1.67695906482
133,2.85655803967
134,2.43364513121
135,2.31401362895
136,4.90057837493
137,9.15454139491
138,6.15675405184
139,1.75807985243
140,2.62059514634
141,3.6851201978
142,2.5160534604
143,2.32947475545
144,3.82707015507
145,2.41367091253
146,3.63197406105
147,4.17842713807
148,2.69664766712
149,4.45962526883
150,4.77124448787
151,4.94964061422
152,3.52064777909
153,3.57006746651
154,2.79051310951
155,5.92456400588
156,3.9867348143
157,3.20611480515
158,3.88014532802
159,6.23809801498
160,5.16994366357
161,5.32721234174
162,5.75299033925
163,3.54076801921
164,2.69127380937
165,2.52407871747
166,4.2625761956
167,9.68676066563
168,3.75633397471
169,4.90390638072
170,1.48297080271
171,4.52813248547
172,3.47171864775
173,3.34976038269
174,4.64994962264
